cell #, vertex #, lat, lon
0001, 001, 30.044763, -115.815168
0001, 002, 30.044763, -115.848408
0001, 003, 30.007229, -115.848408
0001, 004, 30.007229, -115.815168
0001, 005, 30.044763, -115.815168
0002, 001, 30.082283, -115.815168
0002, 002, 30.082283, -115.848408
0002, 003, 30.044763, -115.848408
0002, 004, 30.044763, -115.815168
0002, 005, 30.082283, -115.815168
0003, 001, 30.119788, -115.815168
0003, 002, 30.119788, -115.848408
0003, 003, 30.082283, -115.848408
0003, 004, 30.082283, -115.815168
0003, 005, 30.119788, -115.815168
0004, 001, 30.157280, -115.815168
0004, 002, 30.157280, -115.848408
0004, 003, 30.119788, -115.848408
0004, 004, 30.119788, -115.815168
0004, 005, 30.157280, -115.815168
0005, 001, 30.194757, -115.815168
0005, 002, 30.194757, -115.848408
0005, 003, 30.157280, -115.848408
0005, 004, 30.157280, -115.815168
0005, 005, 30.194757, -115.815168
0006, 001, 30.232220, -115.815168
0006, 002, 30.232220, -115.848408
0006, 003, 30.194757, -115.848408
0006, 004, 30.194757, -115.815168
0006, 005, 30.232220, -115.815168
0007, 001, 30.269668, -115.815168
0007, 002, 30.269668, -115.848408
0007, 003, 30.232220, -115.848408
0007, 004, 30.232220, -115.815168
0007, 005, 30.269668, -115.815168
0008, 001, 30.307103, -115.815168
0008, 002, 30.307103, -115.848408
0008, 003, 30.269668, -115.848408
0008, 004, 30.269668, -115.815168
0008, 005, 30.307103, -115.815168
0009, 001, 30.344523, -115.815168
0009, 002, 30.344523, -115.848408
0009, 003, 30.307103, -115.848408
0009, 004, 30.307103, -115.815168
0009, 005, 30.344523, -115.815168
0010, 001, 30.344523, -115.848408
0010, 002, 30.344523, -115.881647
0010, 003, 30.307103, -115.881647
0010, 004, 30.307103, -115.848408
0010, 005, 30.344523, -115.848408
0011, 001, 30.381929, -115.848408
0011, 002, 30.381929, -115.881647
0011, 003, 30.344523, -115.881647
0011, 004, 30.344523, -115.848408
0011, 005, 30.381929, -115.848408
0012, 001, 30.381929, -115.881647
0012, 002, 30.381929, -115.914887
0012, 003, 30.344523, -115.914887
0012, 004, 30.344523, -115.881647
0012, 005, 30.381929, -115.881647
0013, 001, 30.381929, -115.914887
0013, 002, 30.381929, -115.948127
0013, 003, 30.344523, -115.948127
0013, 004, 30.344523, -115.914887
0013, 005, 30.381929, -115.914887
0014, 001, 30.381929, -115.948127
0014, 002, 30.381929, -115.981366
0014, 003, 30.344523, -115.981366
0014, 004, 30.344523, -115.948127
0014, 005, 30.381929, -115.948127
0015, 001, 30.381929, -115.981366
0015, 002, 30.381929, -116.014606
0015, 003, 30.344523, -116.014606
0015, 004, 30.344523, -115.981366
0015, 005, 30.381929, -115.981366
0016, 001, 30.381929, -116.014606
0016, 002, 30.381929, -116.047845
0016, 003, 30.344523, -116.047845
0016, 004, 30.344523, -116.014606
0016, 005, 30.381929, -116.014606
0017, 001, 30.419320, -116.014606
0017, 002, 30.419320, -116.047845
0017, 003, 30.381929, -116.047845
0017, 004, 30.381929, -116.014606
0017, 005, 30.419320, -116.014606
0018, 001, 30.419320, -116.047845
0018, 002, 30.419320, -116.081085
0018, 003, 30.381929, -116.081085
0018, 004, 30.381929, -116.047845
0018, 005, 30.419320, -116.047845
0019, 001, 30.456697, -116.047845
0019, 002, 30.456697, -116.081085
0019, 003, 30.419320, -116.081085
0019, 004, 30.419320, -116.047845
0019, 005, 30.456697, -116.047845
0020, 001, 30.494060, -116.047845
0020, 002, 30.494060, -116.081085
0020, 003, 30.456697, -116.081085
0020, 004, 30.456697, -116.047845
0020, 005, 30.494060, -116.047845
0021, 001, 30.531409, -116.047845
0021, 002, 30.531409, -116.081085
0021, 003, 30.494060, -116.081085
0021, 004, 30.494060, -116.047845
0021, 005, 30.531409, -116.047845
0022, 001, 30.568743, -116.047845
0022, 002, 30.568743, -116.081085
0022, 003, 30.531409, -116.081085
0022, 004, 30.531409, -116.047845
0022, 005, 30.568743, -116.047845
0023, 001, 30.606062, -116.047845
0023, 002, 30.606062, -116.081085
0023, 003, 30.568743, -116.081085
0023, 004, 30.568743, -116.047845
0023, 005, 30.606062, -116.047845
0024, 001, 30.643368, -116.047845
0024, 002, 30.643368, -116.081085
0024, 003, 30.606062, -116.081085
0024, 004, 30.606062, -116.047845
0024, 005, 30.643368, -116.047845
0025, 001, 30.680659, -116.047845
0025, 002, 30.680659, -116.081085
0025, 003, 30.643368, -116.081085
0025, 004, 30.643368, -116.047845
0025, 005, 30.680659, -116.047845
0026, 001, 30.717935, -116.047845
0026, 002, 30.717935, -116.081085
0026, 003, 30.680659, -116.081085
0026, 004, 30.680659, -116.047845
0026, 005, 30.717935, -116.047845
0027, 001, 30.755198, -116.047845
0027, 002, 30.755198, -116.081085
0027, 003, 30.717935, -116.081085
0027, 004, 30.717935, -116.047845
0027, 005, 30.755198, -116.047845
0028, 001, 30.792445, -116.047845
0028, 002, 30.792445, -116.081085
0028, 003, 30.755198, -116.081085
0028, 004, 30.755198, -116.047845
0028, 005, 30.792445, -116.047845
0029, 001, 30.792445, -116.081085
0029, 002, 30.792445, -116.114325
0029, 003, 30.755198, -116.114325
0029, 004, 30.755198, -116.081085
0029, 005, 30.792445, -116.081085
0030, 001, 30.829679, -116.081085
0030, 002, 30.829679, -116.114325
0030, 003, 30.792445, -116.114325
0030, 004, 30.792445, -116.081085
0030, 005, 30.829679, -116.081085
0031, 001, 30.829679, -116.114325
0031, 002, 30.829679, -116.147564
0031, 003, 30.792445, -116.147564
0031, 004, 30.792445, -116.114325
0031, 005, 30.829679, -116.114325
0032, 001, 30.829679, -116.147564
0032, 002, 30.829679, -116.180804
0032, 003, 30.792445, -116.180804
0032, 004, 30.792445, -116.147564
0032, 005, 30.829679, -116.147564
0033, 001, 30.866898, -116.147564
0033, 002, 30.866898, -116.180804
0033, 003, 30.829679, -116.180804
0033, 004, 30.829679, -116.147564
0033, 005, 30.866898, -116.147564
0034, 001, 30.866898, -116.180804
0034, 002, 30.866898, -116.214043
0034, 003, 30.829679, -116.214043
0034, 004, 30.829679, -116.180804
0034, 005, 30.866898, -116.180804
0035, 001, 30.904102, -116.180804
0035, 002, 30.904102, -116.214043
0035, 003, 30.866898, -116.214043
0035, 004, 30.866898, -116.180804
0035, 005, 30.904102, -116.180804
0036, 001, 30.904102, -116.214043
0036, 002, 30.904102, -116.247283
0036, 003, 30.866898, -116.247283
0036, 004, 30.866898, -116.214043
0036, 005, 30.904102, -116.214043
0037, 001, 30.904102, -116.247283
0037, 002, 30.904102, -116.280523
0037, 003, 30.866898, -116.280523
0037, 004, 30.866898, -116.247283
0037, 005, 30.904102, -116.247283
0038, 001, 30.941292, -116.247283
0038, 002, 30.941292, -116.280523
0038, 003, 30.904102, -116.280523
0038, 004, 30.904102, -116.247283
0038, 005, 30.941292, -116.247283
0039, 001, 30.941292, -116.280523
0039, 002, 30.941292, -116.313762
0039, 003, 30.904102, -116.313762
0039, 004, 30.904102, -116.280523
0039, 005, 30.941292, -116.280523
0040, 001, 30.941292, -116.313762
0040, 002, 30.941292, -116.347002
0040, 003, 30.904102, -116.347002
0040, 004, 30.904102, -116.313762
0040, 005, 30.941292, -116.313762
0041, 001, 30.941292, -116.347002
0041, 002, 30.941292, -116.380241
0041, 003, 30.904102, -116.380241
0041, 004, 30.904102, -116.347002
0041, 005, 30.941292, -116.347002
0042, 001, 30.978468, -116.347002
0042, 002, 30.978468, -116.380241
0042, 003, 30.941292, -116.380241
0042, 004, 30.941292, -116.347002
0042, 005, 30.978468, -116.347002
0043, 001, 31.015629, -116.347002
0043, 002, 31.015629, -116.380241
0043, 003, 30.978468, -116.380241
0043, 004, 30.978468, -116.347002
0043, 005, 31.015629, -116.347002
0044, 001, 31.052775, -116.347002
0044, 002, 31.052775, -116.380241
0044, 003, 31.015629, -116.380241
0044, 004, 31.015629, -116.347002
0044, 005, 31.052775, -116.347002
0045, 001, 31.052775, -116.313762
0045, 002, 31.052775, -116.347002
0045, 003, 31.015629, -116.347002
0045, 004, 31.015629, -116.313762
0045, 005, 31.052775, -116.313762
0046, 001, 31.089907, -116.313762
0046, 002, 31.089907, -116.347002
0046, 003, 31.052775, -116.347002
0046, 004, 31.052775, -116.313762
0046, 005, 31.089907, -116.313762
0047, 001, 31.127025, -116.313762
0047, 002, 31.127025, -116.347002
0047, 003, 31.089907, -116.347002
0047, 004, 31.089907, -116.313762
0047, 005, 31.127025, -116.313762
0048, 001, 31.164128, -116.313762
0048, 002, 31.164128, -116.347002
0048, 003, 31.127025, -116.347002
0048, 004, 31.127025, -116.313762
0048, 005, 31.164128, -116.313762
0049, 001, 31.164128, -116.347002
0049, 002, 31.164128, -116.380241
0049, 003, 31.127025, -116.380241
0049, 004, 31.127025, -116.347002
0049, 005, 31.164128, -116.347002
0050, 001, 31.201217, -116.347002
0050, 002, 31.201217, -116.380241
0050, 003, 31.164128, -116.380241
0050, 004, 31.164128, -116.347002
0050, 005, 31.201217, -116.347002
0051, 001, 31.238291, -116.347002
0051, 002, 31.238291, -116.380241
0051, 003, 31.201217, -116.380241
0051, 004, 31.201217, -116.347002
0051, 005, 31.238291, -116.347002
0052, 001, 31.238291, -116.380241
0052, 002, 31.238291, -116.413481
0052, 003, 31.201217, -116.413481
0052, 004, 31.201217, -116.380241
0052, 005, 31.238291, -116.380241
0053, 001, 31.275350, -116.380241
0053, 002, 31.275350, -116.413481
0053, 003, 31.238291, -116.413481
0053, 004, 31.238291, -116.380241
0053, 005, 31.275350, -116.380241
0054, 001, 31.275350, -116.413481
0054, 002, 31.275350, -116.446721
0054, 003, 31.238291, -116.446721
0054, 004, 31.238291, -116.413481
0054, 005, 31.275350, -116.413481
0055, 001, 31.312395, -116.413481
0055, 002, 31.312395, -116.446721
0055, 003, 31.275350, -116.446721
0055, 004, 31.275350, -116.413481
0055, 005, 31.312395, -116.413481
0056, 001, 31.312395, -116.446721
0056, 002, 31.312395, -116.479960
0056, 003, 31.275350, -116.479960
0056, 004, 31.275350, -116.446721
0056, 005, 31.312395, -116.446721
0057, 001, 31.349425, -116.446721
0057, 002, 31.349425, -116.479960
0057, 003, 31.312395, -116.479960
0057, 004, 31.312395, -116.446721
0057, 005, 31.349425, -116.446721
0058, 001, 31.349425, -116.479960
0058, 002, 31.349425, -116.513200
0058, 003, 31.312395, -116.513200
0058, 004, 31.312395, -116.479960
0058, 005, 31.349425, -116.479960
0059, 001, 31.386441, -116.479960
0059, 002, 31.386441, -116.513200
0059, 003, 31.349425, -116.513200
0059, 004, 31.349425, -116.479960
0059, 005, 31.386441, -116.479960
0060, 001, 31.386441, -116.513200
0060, 002, 31.386441, -116.546439
